opLat,issueLat,threads,sim_ticks,sim_seconds,instructions,cycles
1,6,1,ERROR,ERROR,ERROR,ERROR
1,6,2,ERROR,ERROR,ERROR,ERROR
1,6,4,ERROR,ERROR,ERROR,ERROR
1,6,8,ERROR,ERROR,ERROR,ERROR
2,5,1,ERROR,ERROR,ERROR,ERROR
2,5,2,ERROR,ERROR,ERROR,ERROR
2,5,4,ERROR,ERROR,ERROR,ERROR
2,5,8,ERROR,ERROR,ERROR,ERROR
3,4,1,ERROR,ERROR,ERROR,ERROR
3,4,2,ERROR,ERROR,ERROR,ERROR
3,4,4,ERROR,ERROR,ERROR,ERROR
3,4,8,ERROR,ERROR,ERROR,ERROR
4,3,1,ERROR,ERROR,ERROR,ERROR
4,3,2,ERROR,ERROR,ERROR,ERROR
4,3,4,ERROR,ERROR,ERROR,ERROR
4,3,8,ERROR,ERROR,ERROR,ERROR
5,2,1,ERROR,ERROR,ERROR,ERROR
5,2,2,ERROR,ERROR,ERROR,ERROR
5,2,4,ERROR,ERROR,ERROR,ERROR
5,2,8,ERROR,ERROR,ERROR,ERROR
6,1,1,ERROR,ERROR,ERROR,ERROR
6,1,2,ERROR,ERROR,ERROR,ERROR
6,1,4,ERROR,ERROR,ERROR,ERROR
6,1,8,ERROR,ERROR,ERROR,ERROR
