Configuration,OpLat,IssueLat,Threads,SimSeconds,TotalCycles,AvgIPC,TotalInstructions,Status
Fast_Execute_Slow_Issue,1,6,1,.004296,4340000,.5731,2500000,SUCCESS
Fast_Execute_Slow_Issue,1,6,2,.002321,2345945,2.1206,5000000,SUCCESS
Fast_Execute_Slow_Issue,1,6,4,.001342,1356250,7.3363,10000000,SUCCESS
Fast_Execute_Slow_Issue,1,6,8,.000740,748275,26.5944,20000000,SUCCESS
Balanced_Fast_Execute,2,5,1,.004880,4930000,.5044,2500000,SUCCESS
Balanced_Fast_Execute,2,5,2,.002637,2664864,1.8668,5000000,SUCCESS
Balanced_Fast_Execute,2,5,4,.001524,1540625,6.4583,10000000,SUCCESS
Balanced_Fast_Execute,2,5,8,.000841,850000,23.4117,20000000,SUCCESS
Balanced_Center,3,4,1,.005346,5400000,.4605,2500000,SUCCESS
Balanced_Center,3,4,2,.002888,2918918,1.7043,5000000,SUCCESS
Balanced_Center,3,4,4,.001670,1687500,5.8962,10000000,SUCCESS
Balanced_Center,3,4,8,.000921,931034,21.3739,20000000,SUCCESS
Balanced_Fast_Issue,4,3,1,.005692,5750000,.4325,2500000,SUCCESS
Balanced_Fast_Issue,4,3,2,.003076,3108108,1.6005,5000000,SUCCESS
Balanced_Fast_Issue,4,3,4,.001778,1796875,5.5373,10000000,SUCCESS
Balanced_Fast_Issue,4,3,8,.000981,991379,20.0730,20000000,SUCCESS
Slow_Execute_Fast_Issue,5,2,1,.005920,5980000,.4159,2500000,SUCCESS
Slow_Execute_Fast_Issue,5,2,2,.003199,3232432,1.5390,5000000,SUCCESS
Slow_Execute_Fast_Issue,5,2,4,.001849,1868750,5.3243,10000000,SUCCESS
Slow_Execute_Fast_Issue,5,2,8,.001020,1031034,19.3010,20000000,SUCCESS
Slowest_Execute_Fastest_Issue,6,1,1,.006029,6090000,.4084,2500000,SUCCESS
Slowest_Execute_Fastest_Issue,6,1,2,.003258,3291891,1.5112,5000000,SUCCESS
Slowest_Execute_Fastest_Issue,6,1,4,.001883,1903125,5.2282,10000000,SUCCESS
Slowest_Execute_Fastest_Issue,6,1,8,.001039,1050000,18.9523,20000000,SUCCESS
